Title,Artist,Creation_Date,estimate_year,url,img_URL,Medium,height_cm,width_cm,Accession_number,recoloured_image,colour_palette,relative_frequencies
The Dream of Joseph,Paolo Fiammingo,c.1587–1596,1592,https://artuk.org/discover/artworks/the-dream-of-joseph-83955/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_1591-001.jpg,oil on canvas,160.0,116.8,1591,"[[[32 21 10]
  [32 21 10]
  [32 21 10]
  ...
  [32 21 10]
  [32 21 10]
  [32 21 10]]

 [[32 21 10]
  [32 21 10]
  [32 21 10]
  ...
  [32 21 10]
  [32 21 10]
  [32 21 10]]

 [[32 21 10]
  [32 21 10]
  [32 21 10]
  ...
  [32 21 10]
  [32 21 10]
  [32 21 10]]

 ...

 [[32 21 10]
  [32 21 10]
  [32 21 10]
  ...
  [32 21 10]
  [32 21 10]
  [32 21 10]]

 [[32 21 10]
  [32 21 10]
  [32 21 10]
  ...
  [32 21 10]
  [32 21 10]
  [32 21 10]]

 [[32 21 10]
  [32 21 10]
  [32 21 10]
  ...
  [32 21 10]
  [32 21 10]
  [32 21 10]]]","[array([32, 21, 10], dtype=uint8), array([79, 64, 43], dtype=uint8), array([96, 69, 34], dtype=uint8), array([26, 23,  8], dtype=uint8), array([140, 108,  65], dtype=uint8), array([78, 70, 31], dtype=uint8), array([71, 64, 39], dtype=uint8), array([128, 111,  88], dtype=uint8), array([123, 116,  93], dtype=uint8), array([183, 168, 144], dtype=uint8), array([61, 39,  9], dtype=uint8), array([117, 106,  64], dtype=uint8), array([48, 43,  9], dtype=uint8), array([188, 150, 103], dtype=uint8), array([163, 119,  53], dtype=uint8)]","[0.4320212026416406, 0.1342225698065114, 0.11282586027111574, 0.09993337967790522, 0.06213069169273549, 0.03794461823658904, 0.03453249913103928, 0.019563202409917737, 0.016854941489977987, 0.015618120727609779, 0.011832348511180629, 0.006986444212721585, 0.006572239601436681, 0.004619974510485459, 0.004341907079133357]"
A Scottish Warship,,1650–1674,1662,https://artuk.org/discover/artworks/a-scottish-warship-106183/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/MMU/ABD_MMU_ag001234-001.jpg,oil on canvas,82.4,98.7,ABDAG001234,"[[[138 120 106]
  [138 120 106]
  [173 171 160]
  ...
  [173 171 160]
  [173 171 160]
  [173 171 160]]

 [[173 171 160]
  [173 171 160]
  [173 171 160]
  ...
  [173 171 160]
  [173 171 160]
  [173 171 160]]

 [[173 171 160]
  [173 171 160]
  [173 171 160]
  ...
  [173 171 160]
  [173 171 160]
  [173 171 160]]

 ...

 [[ 30  23  30]
  [ 30  23  30]
  [ 30  23  30]
  ...
  [138 120 106]
  [138 120 106]
  [138 120 106]]

 [[138 120 106]
  [ 85  60  47]
  [ 85  60  47]
  ...
  [138 120 106]
  [138 120 106]
  [ 85  60  47]]

 [[138 120 106]
  [ 85  60  47]
  [ 30  23  30]
  ...
  [138 120 106]
  [138 120 106]
  [ 85  60  47]]]","[array([193, 177, 166], dtype=uint8), array([224, 208, 196], dtype=uint8), array([45, 26, 19], dtype=uint8), array([173, 171, 160], dtype=uint8), array([30, 23, 30], dtype=uint8), array([98, 65, 29], dtype=uint8), array([142, 110,  63], dtype=uint8), array([85, 60, 47], dtype=uint8), array([138, 120, 106], dtype=uint8), array([109,  47,  22], dtype=uint8), array([195, 164, 113], dtype=uint8), array([217, 213, 198], dtype=uint8), array([196, 161,  83], dtype=uint8), array([181,  68,  31], dtype=uint8), array([156, 119,  46], dtype=uint8), array([173,  93,  62], dtype=uint8), array([217, 209, 215], dtype=uint8), array([69, 35,  8], dtype=uint8), array([79, 28,  9], dtype=uint8), array([236, 204, 159], dtype=uint8), array([188, 169, 113], dtype=uint8), array([93, 41, 32], dtype=uint8), array([72, 24, 19], dtype=uint8)]","[0.2053546626984127, 0.16702132936507935, 0.10059689153439154, 0.08584325396825397, 0.0600380291005291, 0.05463045634920635, 0.04487433862433862, 0.0429348544973545, 0.04241402116402116, 0.039495701058201056, 0.027158564814814816, 0.024128637566137565, 0.02054976851851852, 0.018274636243386242, 0.014641203703703703, 0.012081679894179895, 0.01050843253968254, 0.007442956349206349, 0.004645337301587301, 0.004594907407407408, 0.004590773809523809, 0.0043361441798941795, 0.0038434193121693124]"
Ships in a Calm Sea,Willem van de Velde II,c.1660s,1660,https://artuk.org/discover/artworks/ships-in-a-calm-sea-210806/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_NG_1947-001.jpg,oil on panel,36.8,49.9,NG 1947,"[[[201 183 125]
  [201 183 125]
  [201 183 125]
  ...
  [201 183 125]
  [201 183 125]
  [201 183 125]]

 [[201 183 125]
  [201 183 125]
  [201 183 125]
  ...
  [201 183 125]
  [201 183 125]
  [201 183 125]]

 [[201 183 125]
  [201 183 125]
  [201 183 125]
  ...
  [201 183 125]
  [201 183 125]
  [201 183 125]]

 ...

 [[ 43  32  19]
  [ 43  32  19]
  [ 43  32  19]
  ...
  [ 43  32  19]
  [ 43  32  19]
  [ 43  32  19]]

 [[ 43  32  19]
  [ 43  32  19]
  [ 43  32  19]
  ...
  [ 43  32  19]
  [ 43  32  19]
  [ 43  32  19]]

 [[ 43  32  19]
  [ 43  32  19]
  [ 43  32  19]
  ...
  [ 43  32  19]
  [ 43  32  19]
  [ 43  32  19]]]","[array([201, 183, 125], dtype=uint8), array([215, 177,  98], dtype=uint8), array([205, 176, 116], dtype=uint8), array([246, 201, 116], dtype=uint8), array([43, 32, 19], dtype=uint8), array([146, 117,  63], dtype=uint8), array([78, 60, 40], dtype=uint8), array([95, 70, 34], dtype=uint8), array([163, 129,  58], dtype=uint8), array([207, 182, 103], dtype=uint8), array([235, 198, 133], dtype=uint8)]","[0.23980818965517242, 0.19919181034482758, 0.1715366379310345, 0.1338512931034483, 0.07139439655172414, 0.05951077586206897, 0.03747844827586207, 0.03354741379310345, 0.018625, 0.018538793103448276, 0.016517241379310346]"
Fishing Boats in a Calm,Willem van de Velde II,1658,1658,https://artuk.org/discover/artworks/fishing-boats-in-a-calm-94456/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/EDI/UNI/EDI_UNI_EU_0744-001.jpg,oil on canvas,41.9,56.2,EU0744,"[[[185 180 155]
  [185 180 155]
  [185 180 155]
  ...
  [185 180 155]
  [185 180 155]
  [185 180 155]]

 [[185 180 155]
  [185 180 155]
  [185 180 155]
  ...
  [185 180 155]
  [185 180 155]
  [185 180 155]]

 [[185 180 155]
  [185 180 155]
  [185 180 155]
  ...
  [185 180 155]
  [185 180 155]
  [185 180 155]]

 ...

 [[ 46  36  22]
  [ 70  58  38]
  [ 70  58  38]
  ...
  [185 180 155]
  [132 124  97]
  [132 124  97]]

 [[ 70  58  38]
  [ 70  58  38]
  [ 70  58  38]
  ...
  [132 124  97]
  [132 124  97]
  [185 180 155]]

 [[ 46  36  22]
  [ 70  58  38]
  [ 70  58  38]
  ...
  [132 124  97]
  [132 124  97]
  [185 180 155]]]","[array([185, 180, 155], dtype=uint8), array([210, 205, 179], dtype=uint8), array([189, 175, 129], dtype=uint8), array([190, 176, 151], dtype=uint8), array([137, 124,  76], dtype=uint8), array([41, 38, 23], dtype=uint8), array([69, 64, 41], dtype=uint8), array([220, 207, 161], dtype=uint8), array([88, 67, 24], dtype=uint8), array([46, 36, 22], dtype=uint8), array([81, 72, 32], dtype=uint8), array([194, 171, 122], dtype=uint8), array([139, 116,  63], dtype=uint8), array([70, 58, 38], dtype=uint8), array([140, 108,  31], dtype=uint8), array([132, 124,  97], dtype=uint8), array([218, 204, 180], dtype=uint8), array([192, 169,  88], dtype=uint8)]","[0.3297661803217359, 0.15503367003367002, 0.12789842873176208, 0.04750654695099139, 0.0447334455667789, 0.03921436588103255, 0.03700056116722784, 0.03501402918069585, 0.03014590347923681, 0.025817433595211374, 0.020613542835765056, 0.01977833894500561, 0.017563598952487842, 0.016045641601197157, 0.01581556303778526, 0.015451739618406285, 0.011470258136924804, 0.011130751964085297]"
A Mountainous Coastal Landscape with Classical Ruins and Shepherds,Jean Daret,1661,1661,https://artuk.org/discover/artworks/a-mountainous-coastal-landscape-with-classical-ruins-and-shepherds-83705/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_212-001.jpg,oil on canvas,99.7,138.7,212,"[[[ 76  55  36]
  [ 76  55  36]
  [ 76  55  36]
  ...
  [135 122  83]
  [ 76  55  36]
  [ 76  55  36]]

 [[ 76  55  36]
  [ 76  55  36]
  [ 76  55  36]
  ...
  [135 122  83]
  [135 122  83]
  [ 76  55  36]]

 [[ 76  55  36]
  [ 76  55  36]
  [ 76  55  36]
  ...
  [ 76  55  36]
  [135 122  83]
  [135 122  83]]

 ...

 [[ 48  35  22]
  [ 48  35  22]
  [ 48  35  22]
  ...
  [ 48  35  22]
  [ 48  35  22]
  [ 76  55  36]]

 [[ 48  35  22]
  [ 48  35  22]
  [ 48  35  22]
  ...
  [ 48  35  22]
  [ 48  35  22]
  [ 76  55  36]]

 [[ 48  35  22]
  [ 48  35  22]
  [ 48  35  22]
  ...
  [ 48  35  22]
  [ 48  35  22]
  [ 76  55  36]]]","[array([48, 35, 22], dtype=uint8), array([98, 68, 33], dtype=uint8), array([138, 106,  63], dtype=uint8), array([76, 55, 36], dtype=uint8), array([40, 36, 20], dtype=uint8), array([186, 147,  93], dtype=uint8), array([135, 122,  83], dtype=uint8), array([62, 40, 10], dtype=uint8), array([154, 107,  41], dtype=uint8)]","[0.3337676991150442, 0.2481637168141593, 0.17895575221238938, 0.14199115044247787, 0.03436725663716814, 0.019601769911504426, 0.01938274336283186, 0.012772123893805309, 0.010997787610619468]"
The 'Eendracht' and Other Ships of the Dutch Fleet,Willem van de Velde II,1673 (?),1673,https://artuk.org/discover/artworks/the-eendracht-and-other-ships-of-the-dutch-fleet-86626/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_622-001.jpg,oil on canvas,64.7,85.4,622,"[[[176 190 202]
  [176 190 202]
  [176 190 202]
  ...
  [176 190 202]
  [176 190 202]
  [176 190 202]]

 [[176 190 202]
  [176 190 202]
  [176 190 202]
  ...
  [176 190 202]
  [176 190 202]
  [176 190 202]]

 [[176 190 202]
  [176 190 202]
  [176 190 202]
  ...
  [176 190 202]
  [176 190 202]
  [176 190 202]]

 ...

 [[ 34  27  21]
  [ 34  27  21]
  [ 34  27  21]
  ...
  [ 32  32  24]
  [ 32  32  24]
  [ 32  32  24]]

 [[ 34  27  21]
  [ 32  32  24]
  [ 34  27  21]
  ...
  [ 32  32  24]
  [ 32  32  24]
  [ 32  32  24]]

 [[ 32  32  24]
  [ 32  32  24]
  [ 32  32  24]
  ...
  [ 32  32  24]
  [ 32  32  24]
  [ 32  32  24]]]","[array([175, 175, 169], dtype=uint8), array([210, 211, 203], dtype=uint8), array([121, 121, 114], dtype=uint8), array([199, 212, 222], dtype=uint8), array([77, 77, 69], dtype=uint8), array([176, 190, 202], dtype=uint8), array([32, 32, 24], dtype=uint8), array([34, 27, 21], dtype=uint8), array([80, 69, 58], dtype=uint8), array([127, 116, 103], dtype=uint8), array([180, 170, 159], dtype=uint8), array([177, 178, 184], dtype=uint8), array([222, 211, 199], dtype=uint8), array([207, 210, 219], dtype=uint8)]","[0.210232, 0.13696, 0.132762, 0.117936, 0.082376, 0.058914, 0.05068, 0.042718, 0.035506, 0.032686, 0.030096, 0.027084, 0.021964, 0.020086]"
Dutch Men-of-War Beating to Windward,Gerrit Pompe,c.1680–1705,1692,https://artuk.org/discover/artworks/dutch-men-of-war-beating-to-windward-83099/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_722-001.jpg,oil on canvas,172.1,284.2,722,"[[[131 128 117]
  [131 128 117]
  [131 128 117]
  ...
  [132 123 112]
  [132 123 112]
  [132 123 112]]

 [[131 128 117]
  [131 128 117]
  [131 128 117]
  ...
  [132 123 112]
  [132 123 112]
  [132 123 112]]

 [[131 128 117]
  [131 128 117]
  [131 128 117]
  ...
  [132 123 112]
  [132 123 112]
  [132 123 112]]

 ...

 [[ 69  69  62]
  [ 69  69  62]
  [ 69  69  62]
  ...
  [ 40  28  21]
  [ 84  71  61]
  [ 84  71  61]]

 [[ 69  69  62]
  [ 69  69  62]
  [ 69  69  62]
  ...
  [ 84  71  61]
  [ 84  71  61]
  [ 84  71  61]]

 [[ 69  69  62]
  [ 69  69  62]
  [ 69  69  62]
  ...
  [ 84  71  61]
  [ 84  71  61]
  [ 84  71  61]]]","[array([131, 128, 117], dtype=uint8), array([171, 168, 154], dtype=uint8), array([132, 123, 112], dtype=uint8), array([181, 170, 156], dtype=uint8), array([32, 33, 29], dtype=uint8), array([69, 69, 62], dtype=uint8), array([33, 32, 37], dtype=uint8), array([84, 71, 61], dtype=uint8), array([40, 28, 21], dtype=uint8), array([211, 208, 192], dtype=uint8), array([221, 208, 189], dtype=uint8)]","[0.17618312757201646, 0.17175668724279836, 0.13786008230452676, 0.1026440329218107, 0.09898662551440329, 0.07203703703703704, 0.06409979423868313, 0.06037551440329218, 0.04415637860082305, 0.040115740740740743, 0.03178497942386831]"
Screen: Walled Port with Two Vessels,,18th C,1800,https://artuk.org/discover/artworks/screen-walled-port-with-two-vessels-170523/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/GLA/HAG/GLA_HAG_51615-001.jpg,oil on canvas,53.5,50.6,GLAHA_51615,"[[[50 41 35]
  [50 41 35]
  [50 41 35]
  ...
  [39 40 34]
  [39 40 34]
  [39 40 34]]

 [[50 41 35]
  [50 41 35]
  [50 41 35]
  ...
  [39 40 34]
  [39 40 34]
  [39 40 34]]

 [[50 41 35]
  [50 41 35]
  [50 41 35]
  ...
  [39 40 34]
  [39 40 34]
  [39 40 34]]

 ...

 [[38 37 41]
  [38 37 41]
  [38 37 41]
  ...
  [60 56 41]
  [39 40 34]
  [39 40 34]]

 [[38 37 41]
  [38 37 41]
  [38 37 41]
  ...
  [39 40 34]
  [39 40 34]
  [39 40 34]]

 [[38 37 41]
  [38 37 41]
  [38 37 41]
  ...
  [60 56 41]
  [39 40 34]
  [39 40 34]]]","[array([76, 59, 43], dtype=uint8), array([39, 40, 34], dtype=uint8), array([98, 72, 39], dtype=uint8), array([60, 56, 41], dtype=uint8), array([38, 37, 41], dtype=uint8), array([50, 41, 35], dtype=uint8), array([128,  95,  56], dtype=uint8), array([81, 71, 35], dtype=uint8)]","[0.31581964851627775, 0.28899956784788244, 0.1409111207144915, 0.08957721117833477, 0.08266277729760876, 0.05872659176029962, 0.012661336790550273, 0.010641745894554883]"
Screen: Two Men-o-War,,18th C,1800,https://artuk.org/discover/artworks/screen-two-men-o-war-170521/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/GLA/HAG/GLA_HAG_51613-001.jpg,oil on canvas,53.5,48.4,GLAHA_51613,"[[[50 39 31]
  [50 39 31]
  [50 39 31]
  ...
  [39 39 31]
  [39 39 31]
  [50 39 31]]

 [[50 39 31]
  [50 39 31]
  [50 39 31]
  ...
  [39 39 31]
  [39 39 31]
  [50 39 31]]

 [[50 39 31]
  [50 39 31]
  [50 39 31]
  ...
  [50 39 31]
  [50 39 31]
  [50 39 31]]

 ...

 [[76 57 40]
  [76 57 40]
  [76 57 40]
  ...
  [39 39 31]
  [39 39 31]
  [63 60 39]]

 [[76 57 40]
  [76 57 40]
  [76 57 40]
  ...
  [39 39 31]
  [39 39 31]
  [63 60 39]]

 [[76 57 40]
  [76 57 40]
  [76 57 40]
  ...
  [39 39 31]
  [39 39 31]
  [63 60 39]]]","[array([39, 39, 31], dtype=uint8), array([76, 57, 40], dtype=uint8), array([96, 68, 35], dtype=uint8), array([63, 60, 39], dtype=uint8), array([50, 39, 31], dtype=uint8), array([37, 35, 39], dtype=uint8), array([75, 68, 32], dtype=uint8), array([128,  94,  56], dtype=uint8)]","[0.25182539682539684, 0.22367475292003594, 0.1922454327643007, 0.1441996106618748, 0.10824722970949387, 0.0360549565738245, 0.025800389338125188, 0.017952231206948187]"
Screen: Three Men-o-War and Three Boats,,18th C,1800,https://artuk.org/discover/artworks/screen-three-men-o-war-and-three-boats-170527/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/GLA/HAG/GLA_HAG_51619-001.jpg,oil on canvas,52.5,49.0,GLAHA_51619,"[[[37 38 31]
  [37 38 31]
  [37 38 31]
  ...
  [48 38 31]
  [48 38 31]
  [48 38 31]]

 [[37 38 31]
  [37 38 31]
  [37 38 31]
  ...
  [48 38 31]
  [48 38 31]
  [48 38 31]]

 [[37 38 31]
  [37 38 31]
  [37 38 31]
  ...
  [48 38 31]
  [48 38 31]
  [48 38 31]]

 ...

 [[75 54 37]
  [75 54 37]
  [75 54 37]
  ...
  [35 33 37]
  [35 33 37]
  [37 38 31]]

 [[75 54 37]
  [75 54 37]
  [75 54 37]
  ...
  [35 33 37]
  [35 33 37]
  [35 33 37]]

 [[75 54 37]
  [48 38 31]
  [75 54 37]
  ...
  [35 33 37]
  [35 33 37]
  [35 33 37]]]","[array([37, 38, 31], dtype=uint8), array([75, 54, 37], dtype=uint8), array([88, 60, 29], dtype=uint8), array([48, 38, 31], dtype=uint8), array([35, 33, 37], dtype=uint8), array([56, 54, 40], dtype=uint8)]","[0.3801455378250591, 0.21574024822695034, 0.1448973108747045, 0.11731604609929078, 0.09151521867612293, 0.05038563829787234]"
Screen: Three Men-o-War,,18th C,1800,https://artuk.org/discover/artworks/screen-three-men-o-war-170525/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/GLA/HAG/GLA_HAG_51617-001.jpg,oil on canvas,52.4,48.0,GLAHA_51617,"[[[42 43 35]
  [42 43 35]
  [42 43 35]
  ...
  [49 41 35]
  [49 41 35]
  [49 41 35]]

 [[58 58 45]
  [58 58 45]
  [58 58 45]
  ...
  [49 41 35]
  [49 41 35]
  [49 41 35]]

 [[58 58 45]
  [58 58 45]
  [58 58 45]
  ...
  [49 41 35]
  [49 41 35]
  [49 41 35]]

 ...

 [[58 58 45]
  [58 58 45]
  [58 58 45]
  ...
  [74 60 46]
  [74 60 46]
  [74 60 46]]

 [[58 58 45]
  [40 39 43]
  [40 39 43]
  ...
  [74 60 46]
  [74 60 46]
  [74 60 46]]

 [[40 39 43]
  [40 39 43]
  [40 39 43]
  ...
  [74 60 46]
  [74 60 46]
  [74 60 46]]]","[array([42, 43, 35], dtype=uint8), array([74, 60, 46], dtype=uint8), array([58, 58, 45], dtype=uint8), array([49, 41, 35], dtype=uint8), array([40, 39, 43], dtype=uint8), array([98, 73, 40], dtype=uint8), array([134, 101,  58], dtype=uint8), array([81, 73, 38], dtype=uint8)]","[0.28145814913056294, 0.26620321249631596, 0.26614353079870323, 0.06715001473622163, 0.06526893604479811, 0.03573091659298556, 0.012100648393751842, 0.005944591806660772]"
"Alastair Grant Mor, the Castle Grant Champion",Richard Waitt,c.1714,1714,https://artuk.org/discover/artworks/alastair-grant-mor-the-castle-grant-champion-86346/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_2198-001.jpg,oil on canvas,76.2,64.1,2198,"[[[73 72 56]
  [73 72 56]
  [73 72 56]
  ...
  [40 37 21]
  [40 37 21]
  [40 37 21]]

 [[73 72 56]
  [73 72 56]
  [73 72 56]
  ...
  [73 72 56]
  [73 72 56]
  [73 72 56]]

 [[73 72 56]
  [73 72 56]
  [73 72 56]
  ...
  [40 37 21]
  [40 37 21]
  [40 37 21]]

 ...

 [[42 30 16]
  [42 30 16]
  [42 30 16]
  ...
  [42 30 16]
  [42 30 16]
  [42 30 16]]

 [[42 30 16]
  [42 30 16]
  [42 30 16]
  ...
  [42 30 16]
  [42 30 16]
  [42 30 16]]

 [[42 30 16]
  [42 30 16]
  [42 30 16]
  ...
  [42 30 16]
  [42 30 16]
  [42 30 16]]]","[array([73, 72, 56], dtype=uint8), array([42, 30, 16], dtype=uint8), array([88, 59, 23], dtype=uint8), array([77, 63, 47], dtype=uint8), array([108, 106,  89], dtype=uint8), array([40, 37, 21], dtype=uint8), array([62, 39,  8], dtype=uint8), array([141, 100,  55], dtype=uint8), array([121,  55,  26], dtype=uint8), array([151, 100,  31], dtype=uint8), array([181,  90,  41], dtype=uint8), array([170,  90,  53], dtype=uint8), array([71, 64, 29], dtype=uint8)]","[0.43599222811531796, 0.1870346058919288, 0.09523709499553641, 0.08397836475345272, 0.08356876542561571, 0.042151971853174396, 0.019322060599695427, 0.012553169143517303, 0.012138318542246495, 0.008021320170141259, 0.007501444100194297, 0.006314656304153757, 0.006186000105025469]"
The Triumph of Galatea,Andrea Casali,c.1730–1760,1745,https://artuk.org/discover/artworks/the-triumph-of-galatea-83505/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_195-001.jpg,oil on canvas,72.4,87.0,195,"[[[41 25  9]
  [41 25  9]
  [41 25  9]
  ...
  [82 80 62]
  [82 80 62]
  [82 80 62]]

 [[41 25  9]
  [41 25  9]
  [41 25  9]
  ...
  [82 80 62]
  [82 80 62]
  [82 80 62]]

 [[41 25  9]
  [41 25  9]
  [41 25  9]
  ...
  [82 80 62]
  [82 80 62]
  [82 80 62]]

 ...

 [[41 25  9]
  [41 25  9]
  [41 25  9]
  ...
  [41 25  9]
  [41 25  9]
  [41 25  9]]

 [[41 25  9]
  [41 25  9]
  [41 25  9]
  ...
  [41 25  9]
  [41 25  9]
  [41 25  9]]

 [[41 25  9]
  [41 25  9]
  [41 25  9]
  ...
  [41 25  9]
  [41 25  9]
  [41 25  9]]]","[array([41, 25,  9], dtype=uint8), array([93, 64, 31], dtype=uint8), array([111, 113,  97], dtype=uint8), array([146, 111,  74], dtype=uint8), array([136, 116,  96], dtype=uint8), array([198, 159, 121], dtype=uint8), array([193, 169, 144], dtype=uint8), array([84, 66, 44], dtype=uint8), array([82, 80, 62], dtype=uint8), array([63, 37,  8], dtype=uint8), array([170, 101,  62], dtype=uint8), array([79, 70, 34], dtype=uint8), array([226, 204, 180], dtype=uint8), array([116,  55,  25], dtype=uint8), array([127, 115,  77], dtype=uint8), array([208, 137,  97], dtype=uint8), array([178,  98,  47], dtype=uint8)]","[0.16052177177177177, 0.13636448948948948, 0.13083145645645647, 0.1018506006006006, 0.08604542042042042, 0.0759984984984985, 0.06868993993993994, 0.060148273273273274, 0.041128003003003004, 0.03534346846846847, 0.02459271771771772, 0.022077702702702703, 0.02069069069069069, 0.014637762762762763, 0.011139264264264264, 0.005065690690690691, 0.0048742492492492495]"
A Storm,Charles François Lacroix,c.1755–1770,1762,https://artuk.org/discover/artworks/a-storm-85157/view_as/grid/search/has_image:on--region:scotland--work_type:painting--category:seas-and-coasts/sort_by/date_earliest/order/asc/page/23,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_1589-001.jpg,oil on canvas,25.4,36.8,1589,"[[[67 67 57]
  [35 35 26]
  [43 31 22]
  ...
  [35 35 26]
  [35 35 26]
  [35 35 26]]

 [[67 67 57]
  [35 35 26]
  [43 31 22]
  ...
  [35 35 26]
  [35 35 26]
  [35 35 26]]

 [[67 67 57]
  [67 67 57]
  [82 62 50]
  ...
  [35 35 26]
  [35 35 26]
  [35 35 26]]

 ...

 [[43 31 22]
  [43 31 22]
  [43 31 22]
  ...
  [43 31 22]
  [43 31 22]
  [43 31 22]]

 [[43 31 22]
  [43 31 22]
  [43 31 22]
  ...
  [43 31 22]
  [43 31 22]
  [43 31 22]]

 [[43 31 22]
  [43 31 22]
  [43 31 22]
  ...
  [43 31 22]
  [43 31 22]
  [43 31 22]]]","[array([82, 62, 50], dtype=uint8), array([43, 31, 22], dtype=uint8), array([135, 115, 103], dtype=uint8), array([35, 35, 26], dtype=uint8), array([67, 67, 57], dtype=uint8), array([119, 119, 109], dtype=uint8), array([168, 152, 138], dtype=uint8), array([146, 111,  76], dtype=uint8), array([99, 65, 36], dtype=uint8), array([166,  91,  60], dtype=uint8), array([126,  62,  39], dtype=uint8), array([186, 154, 115], dtype=uint8)]","[0.2203384912959381, 0.20063588007736943, 0.19216876208897485, 0.09602756286266925, 0.08171663442940039, 0.07959381044487428, 0.04506286266924565, 0.02860009671179884, 0.028179400386847197, 0.012340425531914894, 0.008624274661508703, 0.006711798839458414]"
